date;AirTemp;SkinTemp
2024-11-01;4.277369729753923;4.652989656329843
2024-11-02;5.705370805534543;4.890889937700699
2024-11-03;1.8513042490729823;2.564775475295919
2024-11-04;-0.2211505930743662;-0.27102360358398286
2024-11-05;-2.1956171309113435;-2.1947297665087535
2024-11-06;-2.2355340060872795;-3.911235313280686
2024-11-07;-0.5365907227603275;-1.564048870002384
2024-11-08;0.7185791471508087;1.047326787448935
2024-11-09;0.882910521081961;0.8944215867352898
2024-11-10;2.564830266714687;1.1896148889220304
2024-11-11;3.0024991232005753;2.635627599652203
2024-11-12;3.4340679033219774;3.7298285629913046
2024-11-13;2.8615104015536192;3.1091981727364524
2024-11-14;2.3045339767460007;2.1717188554512705
2024-11-15;4.059207640150358;3.793848770392204
2024-11-16;1.196837708206774;1.3541086233219075
2024-11-17;1.7138699907714776;1.1981076266021642
2024-11-18;4.639735437613328;4.318021896434905
2024-11-19;2.724506428123576;3.0250426286394334
2024-11-20;2.6224823934326245;2.248064895747176
2024-11-21;4.392341717357725;3.5947035423200275
2024-11-22;5.635037810460733;5.127990090841604
2024-11-23;6.39135833711499;6.073055603420307
2024-11-24;-3.372517055254592;-2.714752424427719
2024-11-25;-7.774648977518042;-7.820899295074317
2024-11-26;-9.71562372626913;-11.683738364275031
2024-11-27;-8.507113094795953;-9.521732567879345
2024-11-28;-7.180289038230783;-7.700807993395264
2024-11-29;-6.566539222784665;-7.628792440193373
2024-11-30;-9.014211140718501;-11.8804872459488
2024-12-01;-8.168158089525052;-9.994843792736027
2024-12-02;-7.7713663505004345;-10.8022678463315
2024-12-03;-10.925055972784047;-13.045132134986806
2024-12-04;-8.213632163339216;-9.55118423919082
2024-12-05;-4.958517207462247;-6.720885111224836
2024-12-06;-4.019905656668129;-5.146785988997808
2024-12-07;-3.862812665759285;-4.494199124728371
2024-12-08;-1.8345389288463327;-2.6056662525946845
2024-12-09;-1.2603980201604945;-1.8280910786105233
2024-12-10;-1.6099871460775297;-2.5527392026821825
2024-12-11;-2.286186268717188;-3.140136337697268
2024-12-12;-2.3942689491853413;-2.348621242878589
2024-12-13;-5.610752016944355;-4.962443082409095
2024-12-14;-12.115104973143632;-12.805692569858495
2024-12-15;-10.73859886503177;-12.890248440122551
2024-12-16;-6.715929070695184;-7.338256483759141
2024-12-17;-7.553015959871665;-8.673081648155181
2024-12-18;-3.6503797327342453;-4.333730165546754
2024-12-19;-3.8352343491097103;-5.23705264567556
2024-12-20;-6.521606607601411;-7.919434035725008
2024-12-21;-6.739032107069321;-9.439348234496784
2024-12-22;-3.4915693272926953;-4.9239465042242445
2024-12-23;-1.6162278427443446;-2.8385864917405446
2024-12-24;0.012080185323192598;-1.4836047002992172
2024-12-25;-0.616700546518347;-2.0447259031226737
2024-12-26;-1.1044824808047136;-2.1579741110974733
2024-12-27;-1.0636443515754306;-1.5471778649216634
2024-12-28;-2.2028951351238204;-1.7650914315753787
2024-12-29;-3.1966346179847602;-3.036734080369827
2024-12-30;-3.3807857016930476;-4.178020252031521
2024-12-31;-3.639220402844379;-3.8666188194132123
2025-01-01;-5.783822076683963;-6.777212273040179
2025-01-02;-7.170580928755366;-8.535930711814185
2025-01-03;-8.071213101072452;-9.887361559225427
2025-01-04;-7.615165185822845;-9.725359116545528
2025-01-05;-4.287040679306791;-4.67387017073642
2025-01-06;-4.52477795094705;-5.99031834928006
2025-01-07;-5.684931713520624;-7.44236403059826
2025-01-08;-3.8601446705462847;-7.068123774560191
2025-01-09;-3.5905288836678126;-7.230056407335074
2025-01-10;-4.30350050078892;-6.866514731904524
2025-01-11;-4.245825354047077;-7.2040235985763985
2025-01-12;-4.620604889670422;-5.843140442061817
2025-01-13;-2.5162909477516844;-3.7761717198270093
2025-01-14;-1.8238754708072749;-2.171942537991596
2025-01-15;-1.3083771008500291;-1.803857026249795
2025-01-16;-2.006658083967762;-1.7206397618178797
2025-01-17;-4.3521319528831794;-3.7633054497493683
2025-01-18;-4.93913964269521;-4.540843690791608
2025-01-19;-3.829687530690775;-3.4292476545560433
2025-01-20;-6.721794459260525;-6.635097660588532
2025-01-21;-7.870736155107581;-9.889127989267243
2025-01-22;-6.473266972257105;-9.121915891619652
2025-01-23;-3.7917250619406473;-5.369598056482261
2025-01-24;-4.592979081018004;-6.061863746867389
2025-01-25;-5.81693927587991;-6.835335516800626
2025-01-26;-3.465035089082659;-4.437710880772343
2025-01-27;-5.280037348913757;-7.345112016043307
2025-01-28;-6.901815308277666;-10.260022623487258
2025-01-29;-6.307541680808247;-10.648786820413068
2025-01-30;-4.500425567482256;-9.680335091539146
2025-01-31;-3.3744516765057786;-9.156442892590201
2025-02-01;-3.0452388794951353;-8.780825677831466
2025-02-02;-5.152250093571274;-7.6936862537666615
2025-02-03;-5.397733822686155;-6.870944628049308
2025-02-04;-5.875341692038152;-6.162703752481169
2025-02-05;-7.344685490095742;-6.528000828413111
2025-02-06;-9.052322191527107;-8.371983113838716
2025-02-07;-8.206229024405413;-8.877460446682049
2025-02-08;-7.373607635906759;-7.890593724282198
2025-02-09;-6.949344871349076;-7.996956755109649
2025-02-10;-8.036559196386603;-9.352993012666358
2025-02-11;-7.203812663754975;-9.393389748885767
2025-02-12;-6.377336933998985;-8.334960030403867
2025-02-13;-5.650664595538079;-6.0707516304034534
2025-02-14;-7.268075555116618;-7.8210790445441924
2025-02-15;-8.510913626317596;-10.096353610989768
2025-02-16;-5.992818544719014;-8.53833605492827
2025-02-17;-5.24544101838459;-6.767095686452883
2025-02-18;-3.3693313799715923;-4.373248320048973
